recipient_id,lat,lon,zone,open_hour,close_hour,capacity_cooked_kg,capacity_ambient_kg,veg_only,use_lead_min,confidential
R000,12.965384794110992,77.5855227500303,downtown,8,20,35.146177432975236,56.52965546170884,False,480,False
R001,12.990185514782413,77.5927449744366,north,9,24,24.30932843017306,42.40141823350247,True,60,True
R002,12.986624945793581,77.5721550992741,east,8,21,29.91867940203747,52.79299269601776,True,480,False
R003,12.968390708992608,77.55945515863743,east,6,21,44.29129786559203,98.40134745696314,False,30,False
R004,13.002287156442225,77.62441674727648,north,9,20,35.87238866907867,106.18306824611612,True,60,False
R005,12.97309287629208,77.64601258784764,west,9,22,72.4745083913343,60.538993116290484,False,30,False
R006,13.002283324893753,77.64509030655363,west,9,22,66.64152279966154,76.58953691589562,False,60,False
R007,12.911240018663609,77.62160622165749,south,6,20,77.134982950741,73.38276836277154,False,0,False
R008,12.990953032588346,77.66758659464858,west,6,20,27.137198644412678,112.51635668662762,True,60,False
R009,12.905470799187707,77.64361047700021,suburb,8,20,79.31623391117459,103.64770818334766,False,60,False
R010,13.050151962261928,77.55072299941702,suburb,8,20,40.544220608637715,101.50113274462959,False,120,False
R011,12.99463767305084,77.69160602883353,suburb,9,21,58.340818955849876,30.207789532806782,False,30,True
